,Calypso Measuring Result,,,,
,,,,,
,Measurement Plan,,Date,,Order
,TSL-1085693-21-F-Maching,,19-Apr-26,,P1087297-25-B:SHQC260900116520
,,,,,
,Drawing No.,,Time,,Part No.
,0623-Y-TJ-01-01-04,,11:55:31,,19-04-A-XS31-DC-L1-0003
,,,,,
,Operator,,CMM,,
,User,,,,
,,,,,
Characteristic,Actual,Nominal,Upper Tol,Lower Tol,Deviation
SC05-FLT-01-24,0.0190869,0,0.05,0,0.0190869
SC06-FLT-01-156,0.0115898,0,0.017,0,0.0115898
SC06-FLT-12-156,0.0054955,0,0.017,0,0.0054955
SC06-FLT-13-156,0.0105378,0,0.017,0,0.0105378
SC06-FLT-24-156,0.0027834,0,0.017,0,0.0027834
1E20-DIST-01-50,7.5118831,7.5,0.043,-0.043,0.0118831
1E20-DIST-02-50,7.5014351,7.5,0.043,-0.043,0.0014351
1E20-DIST-03-50,7.4861041,7.5,0.043,-0.043,-0.0138959
50-X-!!106,7.5114531,7.5,0.043,-0.043,0.0114531
50-X-!!107,7.4883805,7.5,0.043,-0.043,-0.0116195
50-X-!!108,7.4870795,7.5,0.043,-0.043,-0.0129205
50-X-!!109,7.5134862,7.5,0.043,-0.043,0.0134862
50-X-!!110,7.5014203,7.5,0.043,-0.043,0.0014203
50-X-!!111,7.5087238,7.5,0.043,-0.043,0.0087238
50-X-!!112,7.4847763,7.5,0.043,-0.043,-0.0152237
50-X-!!113,7.4970068,7.5,0.043,-0.043,-0.0029932
50-X-!!114,7.5041723,7.5,0.043,-0.043,0.0041723
50-!!!D,0.0382576,0,0.03,0,0.0382576
